"Perovskite structure","Materials","Bandgap (eV)","Transmittance (%)","Carrier Concentration ( Cm ‾ 3 )","Sheet Resistance (Ω sq‾ 1 )","Ref"
"ASnO 3 (A = Ba,Sr or ca)","BaSnO 3","3.1",">80","1 × 20","9.89","[ 100 ]"
"SrSnO 3","4.1",">90","2.79 × 10 19","N/A","[ 101 ]"
"CaSnO 3","3.9",">85","1.2 × 10 19","N/A","[ 102 ]"
"AVO 3 (A = Sr,Ca or Ba)","SrVO 3","∼3.1",">90","2.4 × 10 22","6","[ 103 ]"
"CaVO 3","∼3.1",">90","2.4 × 10 22","10","[ 103 ]"
"BaVO 3","3.2",">90",">2.2 × 10 22","N/A","[ 104 ]"
"ABO 3 (A = Sr,Ba or Pb; B=Ti)","SrTiO 3","3.2/3.9",">90","2.48","N/A","[ 105 ]"
"BaTiO 3","3.4/3.82",">90",">2.2 × 10 22","N/A","[ 106 ]"
"PbTiO 3","3.5",">90",">2.2 × 10 22","N/A","[ 107 ]"
"CaTiO 3","3.17",">90",">2.2 × 10 22","N/A","[ 105 ]"
